Store,Year,Week,Sales,Customers,week_start,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_4,sales_roll_mean_4,sales_roll_mean_8,weekofyear,month
1105,2015,16,34744,3784,2015-04-16,21656.0,39770.0,22352.0,34661.0,29609.75,29772.25,16,4
68,2013,34,35280,6349,2013-08-20,45378.0,51664.0,61333.0,39830.0,49551.25,46265.0,34,8
548,2014,48,38957,2906,2014-11-26,26188.0,32661.0,37909.0,23329.0,30021.75,29868.5,48,11
590,2013,20,27610,2244,2013-05-14,22540.0,27424.0,26456.0,22496.0,24729.0,26056.5,20,5
883,2014,45,34309,3396,2014-11-05,23011.0,28519.0,22730.0,27787.0,25511.75,25520.0,45,11
687,2013,42,37755,3695,2013-10-15,49937.0,37646.0,47207.0,37425.0,43053.75,43376.75,42,10
178,2013,51,104192,7946,2013-12-17,58569.0,80926.0,55567.0,64041.0,64775.75,59678.875,51,12
194,2013,30,25883,2327,2013-07-23,30277.0,24204.0,29393.0,24722.0,27149.0,26787.0,30,7
986,2015,9,23073,3312,2015-02-26,30510.0,25263.0,34592.0,34527.0,31223.0,27721.0,9,2
926,2014,50,39398,3056,2014-12-10,57835.0,53036.0,35464.0,46313.0,48162.0,44155.75,50,12
353,2014,40,46513,11461,2014-10-01,39105.0,40180.0,38259.0,40446.0,39497.5,38631.375,40,10
867,2015,8,26020,2397,2015-02-19,23521.0,28100.0,28823.0,21191.0,25408.75,24453.125,8,2
1064,2013,10,58471,6936,2013-03-05,49969.0,56042.0,42083.0,62308.0,52600.5,51795.25,10,3
8,2015,14,42508,4214,2015-04-02,30512.0,40790.0,29513.0,42022.0,35709.25,36019.5,14,4
549,2015,16,33981,3686,2015-04-16,24817.0,32123.0,27880.0,32011.0,29207.75,28467.0,16,4
921,2015,15,41544,4867,2015-04-09,57404.0,48054.0,56698.0,47544.0,52425.0,51936.625,15,4
235,2013,32,28256,2744,2013-08-06,43991.0,28461.0,42042.0,30814.0,36327.0,36424.625,32,8
304,2015,11,37188,5755,2015-03-12,48818.0,37637.0,40357.0,36167.0,40744.75,41000.625,11,3
586,2013,41,96320,14305,2013-10-08,74840.0,88040.0,71502.0,96283.0,82666.25,84214.125,41,10
852,2014,6,30515,3689,2014-02-05,23008.0,29013.0,21434.0,31524.0,26244.75,29890.75,6,2
488,2013,37,24593,2455,2013-09-10,17686.0,24851.0,18484.0,24741.0,21440.5,22609.375,37,9
879,2014,21,23296,2108,2014-05-21,17922.0,26352.0,24303.0,15452.0,21007.25,20986.125,21,5
181,2015,12,41851,4220,2015-03-19,28289.0,43577.0,27762.0,38190.0,34454.5,34378.375,12,3
1017,2013,21,32836,5046,2013-05-21,46341.0,35430.0,43374.0,43877.0,42255.5,41517.75,21,5
339,2013,35,33999,4429,2013-08-27,26531.0,31636.0,26263.0,30944.0,28843.5,28179.625,35,8
935,2014,10,35495,3833,2014-03-05,29548.0,32803.0,29092.0,37675.0,32279.5,31297.375,10,3
97,2015,27,47730,4311,2015-07-02,33561.0,49089.0,33085.0,49218.0,41238.25,40598.625,27,7
1042,2014,15,21320,3034,2014-04-09,31866.0,20978.0,27072.0,21549.0,25366.25,25397.875,15,4
75,2014,47,33883,3661,2014-11-19,36690.0,39609.0,32787.0,32038.0,35281.0,34228.75,47,11
1098,2014,12,33931,4351,2014-03-19,26165.0,37022.0,25377.0,33304.0,30467.0,30842.625,12,3
805,2013,40,31095,3244,2013-10-01,42159.0,31481.0,49729.0,30991.0,38590.0,39277.125,40,10
514,2014,25,34158,3429,2014-06-18,24666.0,40657.0,28288.0,35072.0,32170.75,31924.625,25,6
784,2013,16,33389,4112,2013-04-16,46716.0,31400.0,50197.0,47730.0,44010.75,43191.125,16,4
586,2013,19,69129,11735,2013-05-07,84099.0,83842.0,69371.0,84315.0,80406.75,79295.375,19,5
33,2015,17,39484,4315,2015-04-23,52457.0,36999.0,57461.0,41317.0,47058.5,48060.75,17,4
688,2013,33,24306,2385,2013-08-13,16262.0,28160.0,15914.0,26391.0,21681.75,22102.875,33,8
356,2013,33,32423,2441,2013-08-13,28047.0,39425.0,29194.0,35029.0,32923.75,31744.5,33,8
104,2014,23,73028,9019,2014-06-04,52839.0,62288.0,55882.0,66140.0,59287.25,57990.5,23,6
557,2013,11,19222,3381,2013-03-12,30228.0,21548.0,28532.0,17798.0,24526.5,24269.0,11,3
327,2014,23,51034,5948,2014-06-04,39125.0,49555.0,38023.0,48667.0,43842.5,43119.25,23,6
710,2013,29,28762,2356,2013-07-16,20084.0,26222.0,24266.0,26619.0,24297.75,23696.875,29,7
209,2013,34,35814,4314,2013-08-20,45789.0,48277.0,56822.0,42781.0,48417.25,45432.75,34,8
924,2013,43,27831,2610,2013-10-22,23862.0,33476.0,20517.0,30211.0,27016.5,27010.5,43,10
73,2014,4,27606,2995,2014-01-22,21814.0,30778.0,23731.0,18880.0,23800.75,29989.25,4,1
248,2015,8,44595,5765,2015-02-19,42270.0,53998.0,49646.0,36211.0,45531.25,42769.375,8,2
33,2015,6,54435,5135,2015-02-05,55951.0,38968.0,51477.0,53244.0,49910.0,46203.125,6,2
268,2015,31,28432,3039,2015-07-30,22296.0,31333.0,24423.0,38035.0,29021.75,29597.125,31,7
146,2014,28,38837,3680,2014-07-09,58919.0,38816.0,50365.0,35320.0,45855.0,45292.75,28,7
618,2015,11,40049,2984,2015-03-12,46130.0,35559.0,44427.0,38083.0,41049.75,41684.875,11,3
1005,2013,48,36671,5709,2013-11-26,37829.0,29491.0,37221.0,28091.0,33158.0,33790.625,48,11
147,2014,32,51283,5243,2014-08-06,54833.0,37257.0,50427.0,40426.0,45735.75,46303.625,32,8
67,2013,9,39127,4305,2013-02-26,48828.0,34859.0,51457.0,37811.0,43238.75,43814.125,9,2
302,2013,46,15728,1563,2013-11-12,23130.0,15491.0,21295.0,17595.0,19377.75,18854.125,46,11
633,2014,14,48554,3544,2014-04-02,38759.0,44571.0,38541.0,45471.0,41835.5,41376.875,14,4
1,2015,18,28627,3008,2015-04-30,20670.0,27563.0,19546.0,33019.0,25199.5,25849.375,18,4
811,2013,16,20745,3828,2013-04-16,25478.0,19164.0,26271.0,25765.0,24169.5,23695.75,16,4
659,2014,49,51129,5864,2014-12-03,46762.0,29083.0,37352.0,39705.0,38225.5,35232.0,49,12
273,2015,6,50675,4707,2015-02-05,48946.0,33095.0,47990.0,48982.0,44753.25,41635.125,6,2
957,2015,14,58883,5273,2015-04-02,42159.0,58316.0,40782.0,56332.0,49397.25,48233.25,14,4
595,2013,25,93848,10569,2013-06-18,72522.0,86984.0,104277.0,66049.0,82458.0,84262.375,25,6
1096,2013,19,24616,3128,2013-05-07,30125.0,25952.0,20975.0,29314.0,26591.5,26658.0,19,5
108,2013,18,58209,4450,2013-04-30,57055.0,50316.0,59064.0,47458.0,53473.25,54814.5,18,4
654,2015,7,31619,3620,2015-02-12,45890.0,43897.0,30413.0,42306.0,40626.5,38529.875,7,2
58,2013,52,28621,2481,2013-12-24,58753.0,33397.0,45269.0,33680.0,42774.75,38450.25,52,12
30,2013,12,41300,5610,2013-03-19,26860.0,42161.0,31359.0,38151.0,34632.75,34679.5,12,3
48,2014,47,21292,2307,2014-11-19,24824.0,23952.0,19921.0,21326.0,22505.75,21537.0,47,11
339,2013,44,23662,3340,2013-10-29,29306.0,24821.0,29964.0,24132.0,27055.75,27452.5,44,10
516,2013,18,34316,4225,2013-04-30,31359.0,23466.0,35841.0,22395.0,28265.25,31508.75,18,4
895,2014,30,50054,4955,2014-07-23,57733.0,46538.0,61191.0,50127.0,53897.25,52932.125,30,7
87,2014,10,40829,4922,2014-03-05,30192.0,37724.0,30695.0,39207.0,34454.5,33615.625,10,3
485,2013,15,26799,2316,2013-04-09,19540.0,29550.0,26714.0,23781.0,24896.25,24452.125,15,4
464,2014,1,76463,9909,2014-01-01,58586.0,114014.0,70868.0,92218.0,83921.5,74539.875,1,1
423,2013,19,78376,13664,2013-05-07,77771.0,78330.0,67500.0,74324.0,74481.25,76997.125,19,5
205,2013,27,46492,6038,2013-07-02,32347.0,45873.0,32391.0,46857.0,39367.0,37778.875,27,7
277,2014,3,30967,2839,2014-01-15,43164.0,18477.0,30952.0,68359.0,40238.0,41817.25,3,1
432,2014,26,55217,8482,2014-06-25,69567.0,52215.0,74526.0,51799.0,62026.75,63521.0,26,6
506,2014,51,62288,5949,2014-12-17,37211.0,50154.0,51070.0,35089.0,43381.0,45042.125,51,12
527,2014,52,59228,5666,2014-12-24,99924.0,65126.0,81735.0,74612.0,80349.25,71066.25,52,12
969,2015,22,18844,3087,2015-05-28,25869.0,18267.0,27580.0,23670.0,23846.5,23054.75,22,5
168,2014,9,37124,4067,2014-02-26,49573.0,36677.0,52866.0,37010.0,44031.5,42899.875,9,2
82,2014,2,68242,5787,2014-01-08,47483.0,36987.0,101131.0,57387.0,60747.0,57500.75,2,1
1093,2013,46,43108,4756,2013-11-12,53012.0,40698.0,45017.0,40966.0,44923.25,45102.875,46,11
41,2014,15,28476,2187,2014-04-09,37524.0,30786.0,32949.0,26969.0,32057.0,31762.0,15,4
241,2015,8,39657,4118,2015-02-19,37013.0,43472.0,43709.0,32166.0,39090.0,35714.875,8,2
330,2013,36,20760,2590,2013-09-03,29746.0,17058.0,25356.0,19527.0,22921.75,23669.5,36,9
922,2014,46,47245,4464,2014-11-12,54640.0,33105.0,44138.0,34736.0,41654.75,42022.875,46,11
568,2013,16,20823,1975,2013-04-16,25392.0,18924.0,30130.0,27895.0,25585.25,24652.75,16,4
964,2013,36,7739,1405,2013-09-03,57628.0,44169.0,65494.0,49236.0,54131.75,56886.875,36,9
614,2014,15,35814,5391,2014-04-09,45114.0,33393.0,39520.0,35090.0,38279.25,37373.125,15,4
1003,2014,4,51163,4968,2014-01-22,31555.0,54131.0,37474.0,31748.0,38727.0,45781.25,4,1
272,2014,14,44980,4261,2014-04-02,28054.0,40341.0,26005.0,45310.0,34927.5,35608.5,14,4
64,2013,39,60850,4729,2013-09-24,44376.0,66988.0,49932.0,62354.0,55912.5,56493.625,39,9
