Store,week_start,horizon_week,pred_sales
16,2015-08-06,1,12321.127
16,2015-08-13,2,5509.9976
16,2015-08-20,3,12127.618
16,2015-08-27,4,12601.726
16,2015-09-03,5,9893.512
16,2015-09-10,6,6867.8325
17,2015-08-06,1,7053.141
17,2015-08-13,2,8113.815
17,2015-08-20,3,11327.763
17,2015-08-27,4,8741.491
17,2015-09-03,5,6213.5356
17,2015-09-10,6,5057.2944
18,2015-08-06,1,8069.4536
18,2015-08-13,2,8237.397
18,2015-08-20,3,10808.698
18,2015-08-27,4,11284.545
18,2015-09-03,5,7287.9067
18,2015-09-10,6,6010.281
19,2015-08-06,1,8558.192
19,2015-08-13,2,6722.316
19,2015-08-20,3,11166.741
19,2015-08-27,4,10475.317
19,2015-09-03,5,7002.718
19,2015-09-10,6,4542.6353
20,2015-08-06,1,14418.566
20,2015-08-13,2,5828.6895
20,2015-08-20,3,10558.352
20,2015-08-27,4,10644.27
20,2015-09-03,5,10241.241
20,2015-09-10,6,7708.2354
21,2015-08-06,1,6794.0273
21,2015-08-13,2,8964.143
21,2015-08-20,3,9634.395
21,2015-08-27,4,8211.211
21,2015-09-03,5,6512.511
21,2015-09-10,6,4918.1025
22,2015-08-06,1,9944.3545
22,2015-08-13,2,5123.4385
22,2015-08-20,3,9141.56
22,2015-08-27,4,6848.652
22,2015-09-03,5,6704.4224
22,2015-09-10,6,6967.83
23,2015-08-06,1,8813.724
23,2015-08-13,2,8307.459
23,2015-08-20,3,10937.264
23,2015-08-27,4,7348.979
23,2015-09-03,5,4827.6914
23,2015-09-10,6,7107.0215
24,2015-08-06,1,12229.879
24,2015-08-13,2,8129.436
24,2015-08-20,3,9277.946
24,2015-08-27,4,12951.13
24,2015-09-03,5,9885.097
24,2015-09-10,6,9527.244
25,2015-08-06,1,13536.161
25,2015-08-13,2,9532.819
25,2015-08-20,3,12322.259
25,2015-08-27,4,11715.004
25,2015-09-03,5,9502.282
25,2015-09-10,6,9433.333
26,2015-08-06,1,8872.039
26,2015-08-13,2,7119.249
26,2015-08-20,3,10587.507
26,2015-08-27,4,11003.0625
26,2015-09-03,5,7287.9067
26,2015-09-10,6,6010.281
27,2015-08-06,1,12075.709
27,2015-08-13,2,7716.5273
27,2015-08-20,3,9171.824
27,2015-08-27,4,13180.684
27,2015-09-03,5,10013.923
27,2015-09-10,6,8133.2246
28,2015-08-06,1,12289.099
28,2015-08-13,2,6316.601
28,2015-08-20,3,8431.237
28,2015-08-27,4,6968.706
28,2015-09-03,5,6646.6865
28,2015-09-10,6,6967.83
29,2015-08-06,1,12040.921
29,2015-08-13,2,7620.003
29,2015-08-20,3,10935.427
29,2015-08-27,4,12734.8545
29,2015-09-03,5,8444.348
29,2015-09-10,6,6797.147
30,2015-08-06,1,10437.328
30,2015-08-13,2,4265.0503
30,2015-08-20,3,5523.941
30,2015-08-27,4,7346.706
30,2015-09-03,5,6924.831
30,2015-09-10,6,6967.83
31,2015-08-06,1,9782.783
31,2015-08-13,2,8309.136
31,2015-08-20,3,10659.032
31,2015-08-27,4,6878.2065
31,2015-09-03,5,6150.95
31,2015-09-10,6,6828.8784
32,2015-08-06,1,11033.175
32,2015-08-13,2,4483.343
32,2015-08-20,3,6059.0215
32,2015-08-27,4,5982.328
32,2015-09-03,5,6924.831
32,2015-09-10,6,6967.83
33,2015-08-06,1,10669.382
33,2015-08-13,2,4933.1245
33,2015-08-20,3,11334.848
33,2015-08-27,4,11922.651
33,2015-09-03,5,8444.348
33,2015-09-10,6,7030.953
34,2015-08-06,1,8136.417
34,2015-08-13,2,7547.0527
34,2015-08-20,3,12534.015
34,2015-08-27,4,11443.124
34,2015-09-03,5,9724.267
34,2015-09-10,6,7316.139
35,2015-08-06,1,12299.635
35,2015-08-13,2,8364.697
35,2015-08-20,3,10285.174
35,2015-08-27,4,11074.159
35,2015-09-03,5,9333.644
35,2015-09-10,6,9433.333
36,2015-08-06,1,14662.311
36,2015-08-13,2,5608.6104
36,2015-08-20,3,16149.001
36,2015-08-27,4,11999.135
36,2015-09-03,5,8692.973
36,2015-09-10,6,9938.82
37,2015-08-06,1,8546.584
37,2015-08-13,2,6888.3486
37,2015-08-20,3,10720.98
37,2015-08-27,4,10657.604
37,2015-09-03,5,7287.9067
37,2015-09-10,6,4687.022
38,2015-08-06,1,6354.0845
38,2015-08-13,2,8503.654
38,2015-08-20,3,12054.213
38,2015-08-27,4,8070.7896
38,2015-09-03,5,6150.95
38,2015-09-10,6,5057.2944
39,2015-08-06,1,11737.13
39,2015-08-13,2,6280.1284
39,2015-08-20,3,8362.471
39,2015-08-27,4,7099.9453
39,2015-09-03,5,6646.6865
39,2015-09-10,6,6967.83
40,2015-08-06,1,9172.637
40,2015-08-13,2,4289.5996
40,2015-08-20,3,6694.671
40,2015-08-27,4,5619.6626
40,2015-09-03,5,6982.567
40,2015-09-10,6,6967.83
41,2015-08-06,1,10498.288
41,2015-08-13,2,6759.659
41,2015-08-20,3,10207.754
41,2015-08-27,4,7155.867
41,2015-09-03,5,4769.9556
41,2015-09-10,6,7107.0215
42,2015-08-06,1,12894.62
42,2015-08-13,2,7076.9126
42,2015-08-20,3,11544.865
42,2015-08-27,4,11886.325
42,2015-09-03,5,10047.282
42,2015-09-10,6,9251.047
43,2015-08-06,1,7882.9277
43,2015-08-13,2,7964.7476
43,2015-08-20,3,12109.249
43,2015-08-27,4,8280.181
43,2015-09-03,5,6213.5356
43,2015-09-10,6,5057.2944
44,2015-08-06,1,10262.63
44,2015-08-13,2,7477.2207
44,2015-08-20,3,8466.762
44,2015-08-27,4,7431.093
44,2015-09-03,5,4875.1035
44,2015-09-10,6,6967.83
45,2015-08-06,1,9139.812
45,2015-08-13,2,7034.5635
45,2015-08-20,3,9830.684
45,2015-08-27,4,7311.0386
45,2015-09-03,5,4932.8394
45,2015-09-10,6,6967.83
46,2015-08-06,1,8590.584
46,2015-08-13,2,7294.3013
46,2015-08-20,3,9223.073
46,2015-08-27,4,7853.829
46,2015-09-03,5,4932.8394
46,2015-09-10,6,6967.83
47,2015-08-06,1,9905.087
47,2015-08-13,2,6623.9473
47,2015-08-20,3,11433.606
47,2015-08-27,4,10265.891
47,2015-09-03,5,7525.9985
47,2015-09-10,6,6010.281
48,2015-08-06,1,8317.66
48,2015-08-13,2,4251.293
48,2015-08-20,3,8117.507
48,2015-08-27,4,7655.476
48,2015-09-03,5,6982.567
48,2015-09-10,6,6967.83
49,2015-08-06,1,10752.749
49,2015-08-13,2,6551.9854
49,2015-08-20,3,11497.405
49,2015-08-27,4,13340.566
49,2015-09-03,5,9711.226
49,2015-09-10,6,7082.3364
50,2015-08-06,1,11719.249
50,2015-08-13,2,4738.789
50,2015-08-20,3,7444.8657
50,2015-08-27,4,6094.3535
50,2015-09-03,5,6924.831
50,2015-09-10,6,6967.83
51,2015-08-06,1,9711.343
51,2015-08-13,2,6851.7925
51,2015-08-20,3,11658.518
51,2015-08-27,4,10265.891
51,2015-09-03,5,8063.4053
51,2015-09-10,6,6072.866
52,2015-08-06,1,8251.48
52,2015-08-13,2,6199.606
52,2015-08-20,3,11409.196
52,2015-08-27,4,10134.532
52,2015-09-03,5,7002.718
52,2015-09-10,6,4542.6353
53,2015-08-06,1,8919.157
53,2015-08-13,2,8444.73
53,2015-08-20,3,10713.789
53,2015-08-27,4,7348.979
53,2015-09-03,5,4827.6914
53,2015-09-10,6,7107.0215
54,2015-08-06,1,10872.687
54,2015-08-13,2,8618.004
54,2015-08-20,3,12267.918
54,2015-08-27,4,12968.849
54,2015-09-03,5,9370.44
54,2015-09-10,6,7082.3364
55,2015-08-06,1,10343.007
55,2015-08-13,2,6818.254
55,2015-08-20,3,8165.2725
55,2015-08-27,4,7050.4297
55,2015-09-03,5,4875.1035
55,2015-09-10,6,6967.83
56,2015-08-06,1,10566.829
56,2015-08-13,2,4442.079
56,2015-08-20,3,10859.815
56,2015-08-27,4,12964.716
56,2015-09-03,5,9893.512
56,2015-09-10,6,7082.3364
57,2015-08-06,1,9791.7295
57,2015-08-13,2,8462.864
57,2015-08-20,3,9783.835
57,2015-08-27,4,13304.927
57,2015-09-03,5,9877.04
57,2015-09-10,6,8113.0674
58,2015-08-06,1,9950.6455
58,2015-08-13,2,7245.983
58,2015-08-20,3,11653.698
58,2015-08-27,4,11111.484
58,2015-09-03,5,7525.9985
58,2015-09-10,6,6072.866
59,2015-08-06,1,8951.534
59,2015-08-13,2,7425.6626
59,2015-08-20,3,9847.161
59,2015-08-27,4,7291.9
59,2015-09-03,5,4932.8394
59,2015-09-10,6,6967.83
60,2015-08-06,1,9290.214
60,2015-08-13,2,7817.409
60,2015-08-20,3,10479.419
60,2015-08-27,4,10804.367
60,2015-09-03,5,10059.665
60,2015-09-10,6,7708.2354
61,2015-08-06,1,9747.127
61,2015-08-13,2,8162.8564
61,2015-08-20,3,9870.872
61,2015-08-27,4,7291.9
61,2015-09-03,5,5044.864
61,2015-09-10,6,6967.83
62,2015-08-06,1,8313.342
62,2015-08-13,2,7250.7505
62,2015-08-20,3,11993.38
62,2015-08-27,4,8570.501
62,2015-09-03,5,7171.622
62,2015-09-10,6,5057.2944
63,2015-08-06,1,9731.035
63,2015-08-13,2,7488.417
63,2015-08-20,3,13156.296
63,2015-08-27,4,12446.3955
63,2015-09-03,5,8147.9614
63,2015-09-10,6,7030.953
64,2015-08-06,1,12554.902
64,2015-08-13,2,9438.369
64,2015-08-20,3,12936.481
64,2015-08-27,4,12642.726
64,2015-09-03,5,10315.831
64,2015-09-10,6,9539.383
65,2015-08-06,1,10426.689
65,2015-08-13,2,8190.4297
65,2015-08-20,3,8393.221
65,2015-08-27,4,7471.3164
65,2015-09-03,5,4875.1035
65,2015-09-10,6,6967.83
66,2015-08-06,1,8300.201
66,2015-08-13,2,8127.3516
66,2015-08-20,3,12463.777
66,2015-08-27,4,8629.921
66,2015-09-03,5,7171.622
66,2015-09-10,6,5169.32
67,2015-08-06,1,9517.198
67,2015-08-13,2,7951.789
67,2015-08-20,3,9791.684
67,2015-08-27,4,12898.383
67,2015-09-03,5,10013.279
67,2015-09-10,6,7284.2803
68,2015-08-06,1,12821.977
68,2015-08-13,2,5042.9297
68,2015-08-20,3,11494.466
68,2015-08-27,4,11361.317
68,2015-09-03,5,10174.988
68,2015-09-10,6,6932.733
69,2015-08-06,1,11823.4795
69,2015-08-13,2,7077.581
69,2015-08-20,3,9923.12
69,2015-08-27,4,10748.739
69,2015-09-03,5,10013.923
69,2015-09-10,6,8197.473
70,2015-08-06,1,8177.415
70,2015-08-13,2,6919.8193
70,2015-08-20,3,11001.413
70,2015-08-27,4,11503.193
70,2015-09-03,5,7287.9067
70,2015-09-10,6,4687.022
71,2015-08-06,1,8826.366
71,2015-08-13,2,9327.393
71,2015-08-20,3,11451.073
71,2015-08-27,4,10497.015
71,2015-09-03,5,10232.725
71,2015-09-10,6,7170.825
72,2015-08-06,1,12568.313
72,2015-08-13,2,4840.7554
72,2015-08-20,3,7737.0957
72,2015-08-27,4,5664.587
72,2015-09-03,5,6924.831
72,2015-09-10,6,6967.83
73,2015-08-06,1,8547.82
73,2015-08-13,2,5189.4463
73,2015-08-20,3,8017.422
73,2015-08-27,4,5955.1606
73,2015-09-03,5,6982.567
73,2015-09-10,6,6967.83
74,2015-08-06,1,9806.2
74,2015-08-13,2,8024.888
74,2015-08-20,3,11239.26
74,2015-08-27,4,7224.264
74,2015-09-03,5,4827.6914
74,2015-09-10,6,6828.8784
75,2015-08-06,1,7874.368
75,2015-08-13,2,7668.098
75,2015-08-20,3,12505.574
75,2015-08-27,4,8488.775
75,2015-09-03,5,7107.379
75,2015-09-10,6,5169.32
76,2015-08-06,1,11078.412
76,2015-08-13,2,7166.174
76,2015-08-20,3,9727.202
76,2015-08-27,4,13244.261
76,2015-09-03,5,9639.829
76,2015-09-10,6,8133.2246
77,2015-08-06,1,8291.227
77,2015-08-13,2,5723.706
77,2015-08-20,3,11755.064
77,2015-08-27,4,12873.844
77,2015-09-03,5,8792.404
77,2015-09-10,6,6797.147
78,2015-08-06,1,9506.766
78,2015-08-13,2,3961.4692
78,2015-08-20,3,8257.9375
78,2015-08-27,4,7485.6577
78,2015-09-03,5,6982.567
78,2015-09-10,6,6967.83
79,2015-08-06,1,8385.802
79,2015-08-13,2,8593.604
79,2015-08-20,3,10813.417
79,2015-08-27,4,7843.392
79,2015-09-03,5,6150.95
79,2015-09-10,6,5057.2944
80,2015-08-06,1,12949.154
80,2015-08-13,2,5251.7295
80,2015-08-20,3,10987.292
80,2015-08-27,4,13539.5625
80,2015-09-03,5,9893.512
80,2015-09-10,6,7082.3364
81,2015-08-06,1,10064.936
81,2015-08-13,2,5077.2773
81,2015-08-20,3,11789.579
81,2015-08-27,4,10978.172
81,2015-09-03,5,8297.057
81,2015-09-10,6,6072.866
82,2015-08-06,1,9228.571
82,2015-08-13,2,7021.2974
82,2015-08-20,3,10598.495
82,2015-08-27,4,10673.076
82,2015-09-03,5,10059.665
82,2015-09-10,6,6651.0703
83,2015-08-06,1,10056.484
83,2015-08-13,2,4757.769
83,2015-08-20,3,7428.419
83,2015-08-27,4,7655.476
83,2015-09-03,5,6924.831
83,2015-09-10,6,6967.83
84,2015-08-06,1,11865.501
84,2015-08-13,2,9924.107
84,2015-08-20,3,19439.34
84,2015-08-27,4,11198.277
84,2015-09-03,5,9172.516
84,2015-09-10,6,9712.429
85,2015-08-06,1,11726.78
85,2015-08-13,2,2291.8428
85,2015-08-20,3,11860.905
85,2015-08-27,4,11303.3955
85,2015-09-03,5,9370.44
85,2015-09-10,6,7030.953
86,2015-08-06,1,12092.983
86,2015-08-13,2,4286.2266
86,2015-08-20,3,7377.5083
86,2015-08-27,4,5758.8555
86,2015-09-03,5,6924.831
86,2015-09-10,6,6967.83
87,2015-08-06,1,10251.055
87,2015-08-13,2,7934.236
87,2015-08-20,3,10957.273
87,2015-08-27,4,7514.4365
87,2015-09-03,5,6093.2144
87,2015-09-10,6,6828.8784
88,2015-08-06,1,6479.159
88,2015-08-13,2,8573.959
88,2015-08-20,3,12186.808
88,2015-08-27,4,8135.1484
88,2015-09-03,5,6213.5356
88,2015-09-10,6,5057.2944
89,2015-08-06,1,9312.668
89,2015-08-13,2,8672.602
89,2015-08-20,3,12468.189
89,2015-08-27,4,7994.0015
89,2015-09-03,5,7171.622
89,2015-09-10,6,5057.2944
90,2015-08-06,1,8483.736
90,2015-08-13,2,5837.0215
90,2015-08-20,3,13126.847
90,2015-08-27,4,13429.3
90,2015-09-03,5,9724.267
90,2015-09-10,6,7082.3364
91,2015-08-06,1,10170.879
91,2015-08-13,2,6655.9097
91,2015-08-20,3,8198.324
91,2015-08-27,4,6968.706
91,2015-09-03,5,6646.6865
91,2015-09-10,6,6967.83
92,2015-08-06,1,6962.2427
92,2015-08-13,2,8268.542
92,2015-08-20,3,12387.861
92,2015-08-27,4,8339.601
92,2015-09-03,5,6213.5356
92,2015-09-10,6,5057.2944
93,2015-08-06,1,8776.143
93,2015-08-13,2,8882.95
93,2015-08-20,3,10875.771
93,2015-08-27,4,6677.142
93,2015-09-03,5,4827.6914
93,2015-09-10,6,7107.0215
94,2015-08-06,1,9612.846
94,2015-08-13,2,7490.5215
94,2015-08-20,3,11983.015
94,2015-08-27,4,11161.355
94,2015-09-03,5,8063.4053
94,2015-09-10,6,6072.866
95,2015-08-06,1,8711.71
95,2015-08-13,2,8233.297
95,2015-08-20,3,10515.562
95,2015-08-27,4,11284.545
95,2015-09-03,5,7287.9067
95,2015-09-10,6,6010.281
96,2015-08-06,1,9271.532
96,2015-08-13,2,8807.241
96,2015-08-20,3,9539.3545
96,2015-08-27,4,7794.4087
96,2015-09-03,5,5044.864
96,2015-09-10,6,6967.83
97,2015-08-06,1,8510.616
97,2015-08-13,2,7951.0996
97,2015-08-20,3,10587.507
97,2015-08-27,4,11284.545
97,2015-09-03,5,7287.9067
97,2015-09-10,6,6010.281
98,2015-08-06,1,9174.307
98,2015-08-13,2,7234.2427
98,2015-08-20,3,10815.558
98,2015-08-27,4,7016.6743
98,2015-09-03,5,4683.3037
98,2015-09-10,6,7107.0215
99,2015-08-06,1,9918.502
99,2015-08-13,2,8301.295
99,2015-08-20,3,10605.028
99,2015-08-27,4,7348.979
99,2015-09-03,5,4827.6914
99,2015-09-10,6,7107.0215
100,2015-08-06,1,9736.888
100,2015-08-13,2,4848.076
100,2015-08-20,3,12412.172
100,2015-08-27,4,13219.463
100,2015-09-03,5,9951.248
100,2015-09-10,6,7082.3364
101,2015-08-06,1,7073.7246
101,2015-08-13,2,9094.753
101,2015-08-20,3,11987.436
101,2015-08-27,4,13161.761
101,2015-09-03,5,9175.129
101,2015-09-10,6,6797.147
102,2015-08-06,1,8962.55
102,2015-08-13,2,9181.054
102,2015-08-20,3,11667.868
102,2015-08-27,4,11872.418
102,2015-09-03,5,7287.9067
102,2015-09-10,6,6010.281
103,2015-08-06,1,9127.786
103,2015-08-13,2,5439.964
103,2015-08-20,3,8144.6924
103,2015-08-27,4,5692.346
103,2015-09-03,5,6982.567
103,2015-09-10,6,6967.83
104,2015-08-06,1,14988.153
104,2015-08-13,2,4632.1177
104,2015-08-20,3,18013.209
104,2015-08-27,4,11563.431
104,2015-09-03,5,8995.962
104,2015-09-10,6,10288.519
105,2015-08-06,1,8720.062
105,2015-08-13,2,8353.192
105,2015-08-20,3,9213.139
105,2015-08-27,4,7423.14
105,2015-09-03,5,4932.8394
105,2015-09-10,6,6967.83
106,2015-08-06,1,10771.786
106,2015-08-13,2,6175.4097
106,2015-08-20,3,10994.183
106,2015-08-27,4,11292.831
106,2015-09-03,5,10038.749
106,2015-09-10,6,7545.49
107,2015-08-06,1,10505.496
107,2015-08-13,2,4500.3276
107,2015-08-20,3,10176.283
107,2015-08-27,4,10966.517
107,2015-09-03,5,8317.214
107,2015-09-10,6,6072.866
108,2015-08-06,1,13678.021
108,2015-08-13,2,9598.275
108,2015-08-20,3,18257.035
108,2015-08-27,4,10745.607
108,2015-09-03,5,9253.731
108,2015-09-10,6,9466.544
109,2015-08-06,1,8444.031
109,2015-08-13,2,5742.3525
109,2015-08-20,3,12400.948
109,2015-08-27,4,9387.049
109,2015-09-03,5,7171.622
109,2015-09-10,6,5057.2944
110,2015-08-06,1,7946.773
110,2015-08-13,2,5136.1445
110,2015-08-20,3,9146.218
110,2015-08-27,4,6829.513
110,2015-09-03,5,6704.4224
110,2015-09-10,6,6967.83
111,2015-08-06,1,8323.208
111,2015-08-13,2,6640.069
111,2015-08-20,3,10808.698
111,2015-08-27,4,10657.604
111,2015-09-03,5,7287.9067
111,2015-09-10,6,4687.022
112,2015-08-06,1,10064.979
112,2015-08-13,2,6283.7554
112,2015-08-20,3,12911.861
112,2015-08-27,4,8714.836
112,2015-09-03,5,7049.643
112,2015-09-10,6,5169.32
113,2015-08-06,1,9957.802
113,2015-08-13,2,8453.171
113,2015-08-20,3,11041.757
113,2015-08-27,4,7224.264
113,2015-09-03,5,6150.95
113,2015-09-10,6,6828.8784
114,2015-08-06,1,8687.369
114,2015-08-13,2,7625.5615
114,2015-08-20,3,9346.903
114,2015-08-27,4,7323.5806
114,2015-09-03,5,4932.8394
114,2015-09-10,6,6967.83
115,2015-08-06,1,13451.207
115,2015-08-13,2,5389.195
115,2015-08-20,3,10960.99
115,2015-08-27,4,13690.762
115,2015-09-03,5,9893.512
115,2015-09-10,6,6867.8325
116,2015-08-06,1,9747.834
116,2015-08-13,2,6913.0376
116,2015-08-20,3,13095.843
116,2015-08-27,4,10089.787
116,2015-09-03,5,6779.26
116,2015-09-10,6,6010.281
117,2015-08-06,1,9832.803
117,2015-08-13,2,5068.8364
117,2015-08-20,3,8097.7354
117,2015-08-27,4,7660.2505
117,2015-09-03,5,6982.567
117,2015-09-10,6,6967.83
118,2015-08-06,1,8115.838
118,2015-08-13,2,8832.116
118,2015-08-20,3,13903.911
118,2015-08-27,4,10647.905
118,2015-09-03,5,10005.747
118,2015-09-10,6,7008.084
119,2015-08-06,1,9971.5625
119,2015-08-13,2,8012.064
119,2015-08-20,3,12104.75
119,2015-08-27,4,8020.7026
119,2015-09-03,5,6150.95
119,2015-09-10,6,6828.8784
120,2015-08-06,1,10075.352
120,2015-08-13,2,7574.4526
120,2015-08-20,3,12210.344
120,2015-08-27,4,11739.105
120,2015-09-03,5,8314.792
120,2015-09-10,6,6402.748
121,2015-08-06,1,10505.628
121,2015-08-13,2,4717.391
121,2015-08-20,3,5659.597
121,2015-08-27,4,7346.706
121,2015-09-03,5,6924.831
121,2015-09-10,6,6967.83
122,2015-08-06,1,12419.416
122,2015-08-13,2,6226.8574
122,2015-08-20,3,13972.121
122,2015-08-27,4,11404.4375
122,2015-09-03,5,10084.53
122,2015-09-10,6,9877.551
123,2015-08-06,1,8020.5283
123,2015-08-13,2,8684.464
123,2015-08-20,3,14010.575
123,2015-08-27,4,10672.671
123,2015-09-03,5,9724.267
123,2015-09-10,6,7101.6353
124,2015-08-06,1,10844.941
124,2015-08-13,2,4666.72
124,2015-08-20,3,7382.282
124,2015-08-27,4,5575.125
124,2015-09-03,5,6924.831
124,2015-09-10,6,6967.83
125,2015-08-06,1,12186.432
125,2015-08-13,2,7020.704
125,2015-08-20,3,18563.836
125,2015-08-27,4,10745.607
125,2015-09-03,5,9592.72
125,2015-09-10,6,10401.353
126,2015-08-06,1,10661.666
126,2015-08-13,2,8469.155
126,2015-08-20,3,8952.811
126,2015-08-27,4,7933.6025
126,2015-09-03,5,4987.128
126,2015-09-10,6,6967.83
127,2015-08-06,1,10373.652
127,2015-08-13,2,8234.126
127,2015-08-20,3,9313.765
127,2015-08-27,4,7933.6025
127,2015-09-03,5,4987.128
127,2015-09-10,6,6967.83
128,2015-08-06,1,9491.85
128,2015-08-13,2,6118.322
128,2015-08-20,3,12758.779
128,2015-08-27,4,10750.201
128,2015-09-03,5,10005.747
128,2015-09-10,6,6488.33
129,2015-08-06,1,11699.227
129,2015-08-13,2,5758.379
129,2015-08-20,3,12454.106
129,2015-08-27,4,11607.676
129,2015-09-03,5,9893.512
129,2015-09-10,6,7316.139
130,2015-08-06,1,10053.448
130,2015-08-13,2,6197.1455
130,2015-08-20,3,8164.408
130,2015-08-27,4,7549.567
130,2015-09-03,5,4875.1035
130,2015-09-10,6,6967.83
131,2015-08-06,1,10414.402
131,2015-08-13,2,6620.6465
131,2015-08-20,3,8141.6396
131,2015-08-27,4,7154.796
131,2015-09-03,5,6646.6865
131,2015-09-10,6,6967.83
132,2015-08-06,1,9636.82
132,2015-08-13,2,6739.078
132,2015-08-20,3,12092.955
132,2015-08-27,4,12458.963
132,2015-09-03,5,8374.951
132,2015-09-10,6,7030.953
133,2015-08-06,1,8364.832
133,2015-08-13,2,8484.019
133,2015-08-20,3,11196.142
133,2015-08-27,4,7305.9897
133,2015-09-03,5,6150.95
133,2015-09-10,6,6828.8784
134,2015-08-06,1,8851.405
134,2015-08-13,2,3977.0186
134,2015-08-20,3,7931.205
134,2015-08-27,4,5435.932
134,2015-09-03,5,6982.567
134,2015-09-10,6,6967.83
135,2015-08-06,1,8027.35
135,2015-08-13,2,8913.164
135,2015-08-20,3,12475.192
135,2015-08-27,4,8198.455
135,2015-09-03,5,7171.622
135,2015-09-10,6,5057.2944
136,2015-08-06,1,9155.199
136,2015-08-13,2,8266.904
136,2015-08-20,3,9216.941
136,2015-08-27,4,8516.593
136,2015-09-03,5,6512.511
136,2015-09-10,6,4918.1025
137,2015-08-06,1,11059.653
137,2015-08-13,2,7314.068
137,2015-08-20,3,10106.587
137,2015-08-27,4,10387.1455
137,2015-09-03,5,8297.057
137,2015-09-10,6,6136.2134
138,2015-08-06,1,10464.922
138,2015-08-13,2,9199.08
138,2015-08-20,3,12566.03
138,2015-08-27,4,12922.615
138,2015-09-03,5,9143.459
138,2015-09-10,6,7082.3364
139,2015-08-06,1,9422.014
139,2015-08-13,2,7244.1123
139,2015-08-20,3,11001.413
139,2015-08-27,4,9951.657
139,2015-09-03,5,7171.622
139,2015-09-10,6,5313.7085
140,2015-08-06,1,9622.16
140,2015-08-13,2,5281.058
140,2015-08-20,3,13004.438
140,2015-08-27,4,11604.014
140,2015-09-03,5,8147.9614
140,2015-09-10,6,7030.953
141,2015-08-06,1,9010.022
141,2015-08-13,2,8336.312
141,2015-08-20,3,10395.964
141,2015-08-27,4,7279.726
141,2015-09-03,5,4827.6914
141,2015-09-10,6,6828.8784
142,2015-08-06,1,10035.379
142,2015-08-13,2,4356.8896
142,2015-08-20,3,6227.4365
142,2015-08-27,4,5526.6313
142,2015-09-03,5,6924.831
142,2015-09-10,6,6967.83
143,2015-08-06,1,7122.914
143,2015-08-13,2,7719.6025
143,2015-08-20,3,11245.792
143,2015-08-27,4,9618.985
143,2015-09-03,5,7171.622
143,2015-09-10,6,5169.32
